level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	1011	-1.0	
2	1	1	0	0	0	0	0	633	1006	-1.0	
3	1	1	1	0	0	0	0	633	1006	-1.0	
4	1	1	1	1	0	0	0	339	192	-1.0	
5	1	1	1	1	1	0	0	20	176	96.497505	|
5	1	1	1	1	2	134	113	205	79	78.631676	Se
4	1	1	1	2	0	260	516	223	98	-1.0	
5	1	1	1	2	1	260	533	135	81	45.00771	Resticte0
5	1	1	1	2	2	406	516	77	46	85.14386	Area
4	1	1	1	3	0	59	568	374	104	-1.0	
5	1	1	1	3	1	59	652	51	20	36.183403	ed
5	1	1	1	3	2	160	632	33	39	22.170658	AN)
5	1	1	1	3	3	233	661	1	3	64.456139	-
5	1	1	1	3	4	299	595	68	40	70.497238	eep
5	1	1	1	3	5	382	568	51	42	55.129108	OU
4	1	1	1	4	0	32	640	417	170	-1.0	
5	1	1	1	4	1	32	673	31	137	61.394421	|
5	1	1	1	4	2	222	680	5	10	0.0	!
5	1	1	1	4	3	288	640	161	69	74.688438	authorized
4	1	1	1	5	0	200	678	291	208	-1.0	
5	1	1	1	5	1	200	706	28	180	91.173195	|
5	1	1	1	5	2	260	693	143	67	96.364471	personnel
5	1	1	1	5	3	415	678	76	60	94.9133	Only
4	1	1	1	6	0	212	907	421	99	-1.0	
5	1	1	1	6	1	212	1000	8	4	41.774002	>
5	1	1	1	6	2	266	966	58	40	60.132488	Qu
5	1	1	1	6	3	344	977	5	14	54.942078	i
5	1	1	1	6	4	491	932	16	30	84.756447	h
5	1	1	1	6	5	527	907	106	48	21.450405	HUE
