level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	438	-1.0	
2	1	1	0	0	0	0	26	640	412	-1.0	
3	1	1	1	0	0	17	26	623	40	-1.0	
4	1	1	1	1	0	17	26	623	29	-1.0	
5	1	1	1	1	1	17	26	200	28	21.060051	er
5	1	1	1	1	2	313	41	91	12	29.961338	">"""
5	1	1	1	1	3	417	36	43	15	16.229095	
5	1	1	1	1	4	484	34	156	18	27.36071	ee
4	1	1	1	2	0	33	48	309	26	-1.0	
5	1	1	1	2	1	33	55	11	9	23.866949	a
5	1	1	1	2	2	113	60	3	2	41.563358	2
5	1	1	1	2	3	246	48	9	26	14.145393	Pi
5	1	1	1	2	4	322	52	20	14	39.684982	7
3	1	1	2	0	0	9	75	507	23	-1.0	
4	1	1	2	1	0	9	75	507	23	-1.0	
5	1	1	2	1	1	9	89	159	9	50.042564	COURS
5	1	1	2	1	2	309	82	3	3	0.0	P
5	1	1	2	1	3	369	81	78	8	20.667219	pee
5	1	1	2	1	4	464	62	17	36	3.807745	OS
3	1	1	3	0	0	1	129	639	80	-1.0	
4	1	1	3	1	0	1	129	635	28	-1.0	
5	1	1	3	1	1	1	143	5	5	9.996157	‘
5	1	1	3	1	2	23	129	26	26	58.474159	1
5	1	1	3	1	3	57	129	63	28	68.890778	yor
5	1	1	3	1	4	515	141	3	3	29.50592	LA
5	1	1	3	1	5	587	132	49	17	43.739853	we
4	1	1	3	2	0	15	150	620	48	-1.0	
5	1	1	3	2	1	15	155	8	10	58.361946	K
5	1	1	3	2	2	33	157	58	28	30.570312	A
5	1	1	3	2	3	211	153	64	31	96.784332	Border
5	1	1	3	2	4	334	153	81	31	95.77076	Contrôle
5	1	1	3	2	5	521	150	93	48	6.386147	te
5	1	1	3	2	6	623	151	12	31	57.874695	;
4	1	1	3	3	0	24	181	609	28	-1.0	
5	1	1	3	3	1	24	192	57	15	33.825806	TT
5	1	1	3	3	2	109	181	11	28	47.634804	|
5	1	1	3	3	3	212	182	97	18	89.915863	Inspection
5	1	1	3	3	4	333	181	86	15	96.160698	frontalier
5	1	1	3	3	5	517	188	18	13	48.124447	À;
5	1	1	3	3	6	590	181	43	22	49.896431	A
3	1	1	4	0	0	5	202	629	36	-1.0	
4	1	1	4	1	0	5	202	629	36	-1.0	
5	1	1	4	1	1	5	205	111	33	47.391335	DOS
5	1	1	4	1	2	538	202	96	18	42.310944	Vas.
3	1	1	5	0	0	61	220	573	30	-1.0	
4	1	1	5	1	0	61	220	573	30	-1.0	
5	1	1	5	1	1	61	239	34	6	50.535225	=
5	1	1	5	1	2	311	220	23	29	51.998413	Ted
5	1	1	5	1	3	512	221	38	29	35.457554	ve
5	1	1	5	1	4	610	227	24	13	24.234362	rcs
3	1	1	6	0	0	0	337	633	53	-1.0	
4	1	1	6	1	0	0	337	633	39	-1.0	
5	1	1	6	1	1	0	337	78	34	2.075586	<i
5	1	1	6	1	2	157	352	34	13	46.176552	“Ge
5	1	1	6	1	3	262	353	80	14	41.574917	OR
5	1	1	6	1	4	361	351	136	16	0.0	ACO
5	1	1	6	1	5	512	339	121	31	0.0	BRE
4	1	1	6	2	0	16	366	616	24	-1.0	
5	1	1	6	2	1	16	371	76	19	33.237595	ve
5	1	1	6	2	2	127	366	64	20	36.394852	A.
5	1	1	6	2	3	275	372	88	14	31.910028	SOIR
5	1	1	6	2	4	382	373	47	15	28.502645	eo
5	1	1	6	2	5	451	371	116	17	40.943485	S/N
5	1	1	6	2	6	618	368	14	17	32.609009	A
3	1	1	7	0	0	0	384	617	22	-1.0	
4	1	1	7	1	0	8	384	609	21	-1.0	
5	1	1	7	1	1	0	389	24	16	32.160255	KX
5	1	1	7	1	2	42	385	26	21	39.310265	LEE
5	1	1	7	1	3	130	389	39	14	58.445667	27
5	1	1	7	1	4	192	388	9	10	46.967499	X
5	1	1	7	1	5	261	387	114	13	0.0	LS
5	1	1	7	1	6	470	393	40	8	64.815575	XX
5	1	1	7	1	7	531	384	86	21	37.852203	XK
3	1	1	8	0	0	1	399	635	39	-1.0	
4	1	1	8	1	0	1	399	635	39	-1.0	
5	1	1	8	1	1	1	417	8	18	57.262817	>
5	1	1	8	1	2	53	408	157	30	43.645191	“aa
5	1	1	8	1	3	227	412	9	12	0.0	'
5	1	1	8	1	4	329	409	140	20	34.976753	Ra
5	1	1	8	1	5	491	399	55	39	12.756739	SS
5	1	1	8	1	6	565	403	71	35	34.496445	ee
