level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2400	3790	-1.0	
2	1	1	0	0	0	24	851	2347	2711	-1.0	
3	1	1	1	0	0	0	851	2240	2420	-1.0	
4	1	1	1	1	0	1287	851	22	91	-1.0	
5	1	1	1	1	1	1287	851	22	91	89.537621	\
4	1	1	1	2	0	39	2229	1333	182	-1.0	
5	1	1	1	2	1	39	2285	109	126	35.682556	4;
5	1	1	1	2	2	449	2286	159	102	36.095715	_
5	1	1	1	2	3	1122	2229	250	152	87.807182	KeeP
4	1	1	1	3	0	224	2424	1241	56	-1.0	
5	1	1	1	3	1	224	2447	18	30	90.46167	,
5	1	1	1	3	2	479	2440	1	3	96.365112	|
5	1	1	1	3	3	692	2424	17	10	57.233116	'
4	1	1	1	4	0	548	2399	1296	326	-1.0	
5	1	1	1	4	1	548	2412	176	168	26.353279	FA
5	1	1	1	4	2	1080	2399	764	326	26.799726	authorizes
4	1	1	1	5	0	976	2607	1141	231	-1.0	
5	1	1	1	5	1	976	2607	534	231	94.634499	personnel
5	1	1	1	5	2	2107	2752	10	54	65.651344	|
4	1	1	1	6	0	410	2935	1830	336	-1.0	
5	1	1	1	6	1	410	3056	2	2	94.984146	|
5	1	1	1	6	2	925	2978	143	93	43.2132	ey:
5	1	1	1	6	3	1108	3010	81	54	60.66151	U.S.
5	1	1	1	6	4	1203	2997	213	57	94.974075	Customs
5	1	1	1	6	5	1433	2963	93	94	95.474876	and
5	1	1	1	6	6	2077	2935	163	336	44.57238	l
3	1	1	2	0	0	24	2971	2352	591	-1.0	
4	1	1	2	1	0	53	2971	2311	299	-1.0	
5	1	1	2	1	1	53	3121	61	47	64.26899	&
5	1	1	2	1	2	400	3096	105	69	53.419792	184
5	1	1	2	1	3	650	3094	119	66	18.755169	sf
5	1	1	2	1	4	921	3014	141	150	44.434452	
5	1	1	2	1	5	1107	3073	158	64	96.678505	Border
5	1	1	2	1	6	1286	3060	270	61	69.780304	Protection
5	1	1	2	1	7	2319	2971	45	299	43.651146	|
4	1	1	2	2	0	24	3328	2347	234	-1.0	
5	1	1	2	2	1	24	3473	16	7	55.202644	;
5	1	1	2	2	2	208	3404	214	154	0.0	HIT
5	1	1	2	2	3	807	3411	182	135	26.969547	“ag?
5	1	1	2	2	4	1057	3377	219	185	58.572655	mn
5	1	1	2	2	5	1491	3328	880	200	21.774677	DU
