level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	856	430	-1.0	
2	1	1	0	0	0	61	75	683	273	-1.0	
3	1	1	1	0	0	61	75	683	273	-1.0	
4	1	1	1	1	0	672	75	46	9	-1.0	
5	1	1	1	1	1	672	75	46	9	43.575214	Romaa
4	1	1	1	2	0	680	91	56	10	-1.0	
5	1	1	1	2	1	680	91	56	10	52.087177	‘Richmond
5	1	1	1	2	2	731	81	8	29	74.668526	»
4	1	1	1	3	0	451	112	173	30	-1.0	
5	1	1	1	3	1	451	112	55	30	38.379982	een
5	1	1	1	3	2	570	123	54	9	75.831413	KENTUCKY
4	1	1	1	4	0	700	138	36	8	-1.0	
5	1	1	1	4	1	700	138	36	8	57.477043	NORTH
4	1	1	1	5	0	156	139	588	31	-1.0	
5	1	1	1	5	1	156	141	27	29	36.731014	NEW
5	1	1	1	5	2	189	141	40	29	75.933235	MEXICO
5	1	1	1	5	3	576	139	56	29	52.150974	Nai
5	1	1	1	5	4	691	150	53	8	43.655239	CaRCUINA
4	1	1	1	6	0	160	152	446	30	-1.0	
5	1	1	1	6	1	160	152	65	30	63.157391	‘TERRITORY
5	1	1	1	6	2	377	153	42	29	32.22184	roun
5	1	1	1	6	3	543	163	63	10	38.737244	TENNESSEE
4	1	1	1	7	0	369	175	332	14	-1.0	
5	1	1	1	7	1	369	180	59	9	29.272972	TERRTORY
5	1	1	1	7	2	452	175	56	10	46.764088	ARKANSAS
5	1	1	1	7	3	665	178	36	10	81.478073	soum
4	1	1	1	8	0	610	189	100	10	-1.0	
5	1	1	1	8	1	610	189	100	10	24.625368	aan
5	1	1	1	8	2	648	179	3	30	13.920708	|
5	1	1	1	8	3	658	189	52	10	28.671432	CAROL
4	1	1	1	9	0	171	199	461	31	-1.0	
5	1	1	1	9	1	171	201	54	29	35.394859	‘ARIZONA
5	1	1	1	9	2	554	201	45	8	41.345306	pans
5	1	1	1	9	3	626	199	6	6	67.199379	*
4	1	1	1	10	0	165	208	393	30	-1.0	
5	1	1	1	10	1	165	208	63	30	31.555866	Es
5	1	1	1	10	2	497	219	61	9	0.0	AassissiPrt
4	1	1	1	11	0	509	225	226	24	-1.0	
5	1	1	1	11	1	509	243	5	6	25.246172	机
5	1	1	1	11	2	595	225	140	18	0.0	RE
4	1	1	1	12	0	61	252	527	29	-1.0	
5	1	1	1	12	1	61	259	1	5	40.508072	À
5	1	1	1	12	2	344	252	42	29	77.947548	Tess
5	1	1	1	12	3	505	249	40	32	32.801796	fre
5	1	1	1	12	4	563	249	28	32	45.613613	os
4	1	1	1	13	0	555	278	11	6	-1.0	
5	1	1	1	13	1	555	278	11	6	16.966219	G
4	1	1	1	14	0	528	300	66	9	-1.0	
5	1	1	1	14	1	524	290	27	29	60.257729	he
5	1	1	1	14	2	560	290	37	29	52.623981	Oran
4	1	1	1	15	0	211	336	59	12	-1.0	
5	1	1	1	15	1	211	336	59	12	96.02301	MEXICO
