level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	7489	5126	-1.0	
2	1	1	0	0	0	0	1163	7462	3180	-1.0	
3	1	1	1	0	0	0	1163	7462	3180	-1.0	
4	1	1	1	1	0	499	1163	6866	304	-1.0	
5	1	1	1	1	1	369	1192	132	152	45.671059	XQ
5	1	1	1	1	2	632	1179	601	288	60.67696	law
5	1	1	1	1	3	1394	1237	70	37	43.994667	re
5	1	1	1	1	4	1643	1194	124	263	48.888489	E
5	1	1	1	1	5	1805	1163	352	301	53.949638	CA
5	1	1	1	1	6	2468	1200	529	109	96.552055	Canada
5	1	1	1	1	7	3052	1203	455	106	95.598	Border
5	1	1	1	1	8	3908	1182	504	154	95.40509	Agence
5	1	1	1	1	9	4478	1201	240	106	95.882721	des
5	1	1	1	1	10	4783	1199	556	107	96.303558	services
5	1	1	1	1	11	5999	1191	113	214	94.371239	D
5	1	1	1	1	12	6519	1274	11	72	53.125477	|
5	1	1	1	1	13	7339	1329	26	15	0.0	C
4	1	1	1	2	0	204	1281	6529	628	-1.0	
5	1	1	1	2	1	0	1348	217	154	78.832893	+
5	1	1	1	2	2	454	1281	579	628	41.118752	4
5	1	1	1	2	3	1284	1390	202	173	30.454353	i,
5	1	1	1	2	4	2469	1351	576	110	95.977966	Services
5	1	1	1	2	5	3107	1354	503	134	96.339233	Agency
5	1	1	1	2	6	3909	1352	681	107	90.278976	frontaliers
5	1	1	1	2	7	4656	1352	161	105	96.22081	du
5	1	1	1	2	8	4888	1348	508	125	96.22081	Canada
5	1	1	1	2	9	6536	1348	197	165	58.686577	[Xe
5	1	1	1	2	10	7344	1344	22	24	79.019211	|
4	1	1	1	3	0	232	1861	7230	300	-1.0	
5	1	1	1	3	1	232	1926	350	197	70.730331	Ai
5	1	1	1	3	2	1057	1938	345	153	31.862402	Lae
5	1	1	1	3	3	2474	1873	750	173	96.191727	Border
5	1	1	1	3	4	3908	1861	943	233	96.223816	Controle
5	1	1	1	3	5	5895	1995	558	85	33.766922	ee
5	1	1	1	3	6	7311	1934	151	189	23.503414	Se
4	1	1	1	4	0	198	2104	6993	404	-1.0	
5	1	1	1	4	1	198	2175	175	149	0.0	«
5	1	1	1	4	2	450	2145	342	363	58.976204	7
5	1	1	1	4	3	800	2104	654	245	27.840691	NPA)
5	1	1	1	4	4	1655	2254	27	44	75.150391	.
5	1	1	1	4	5	2476	2126	1140	217	90.747246	Inspection
5	1	1	1	4	6	3899	2122	1000	173	96.207878	frontalier
5	1	1	1	4	7	7188	2198	181	130	55.44434	A
4	1	1	1	5	0	0	3938	5859	405	-1.0	
5	1	1	1	5	1	0	3939	171	185	58.074913	à
5	1	1	1	5	2	495	4223	7	7	96.526123	|
5	1	1	1	5	3	563	4088	369	255	50.64156	NG
5	1	1	1	5	4	978	4080	57	95	61.819538	J
5	1	1	1	5	5	1244	4080	196	217	37.930073	Si
5	1	1	1	5	6	1755	4151	203	84	50.145264	JON
5	1	1	1	5	7	2661	4072	39	99	23.894873	.
5	1	1	1	5	8	2751	4116	292	132	53.646217	Cy
5	1	1	1	5	9	3254	4108	407	224	92.43766	AN
5	1	1	1	5	10	3859	4114	2	3	90.499001	|
5	1	1	1	5	11	5032	4075	5	9	37.908878	|
5	1	1	1	5	12	5461	4124	2	3	93.38237	|
5	1	1	1	5	13	5679	3938	180	174	79.304558	N
