level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1644	1118	-1.0	
2	1	1	0	0	0	14	12	1609	1053	-1.0	
3	1	1	1	0	0	14	12	1609	1053	-1.0	
4	1	1	1	1	0	14	12	174	37	-1.0	
5	1	1	1	1	1	14	13	94	36	96.766754	Snap
5	1	1	1	1	2	122	12	66	29	96.799011	Lab
4	1	1	1	2	0	16	83	303	37	-1.0	
5	1	1	1	2	1	16	85	88	27	96.188408	Mass
5	1	1	1	2	2	115	83	65	29	94.315903	and
5	1	1	1	2	3	193	83	126	37	96.361259	Weight
4	1	1	1	3	0	15	130	857	32	-1.0	
5	1	1	1	3	1	15	133	26	21	96.539162	In
5	1	1	1	3	2	49	130	48	24	96.539162	this
5	1	1	1	3	3	106	131	100	31	96.566154	activity,
5	1	1	1	3	4	214	139	48	23	96.739601	you
5	1	1	1	3	5	268	130	47	24	95.377518	will
5	1	1	1	3	6	323	139	43	15	96.562622	use
5	1	1	1	3	7	374	139	14	15	94.56588	a
5	1	1	1	3	8	396	130	61	24	96.575653	scale
5	1	1	1	3	9	464	137	26	17	96.575653	to
5	1	1	1	3	10	498	131	141	31	96.978172	investigate
5	1	1	1	3	11	647	139	65	15	96.504959	mass
5	1	1	1	3	12	721	130	49	24	96.973526	and
5	1	1	1	3	13	776	130	96	32	96.737686	weight.
4	1	1	1	4	0	40	198	253	24	-1.0	
5	1	1	1	4	1	40	211	7	7	86.04847	+
5	1	1	1	4	2	78	198	146	24	61.940693	1bathroom
5	1	1	1	4	3	232	198	61	24	97.00325	scale
4	1	1	1	5	0	40	243	118	24	-1.0	
5	1	1	1	5	1	40	256	7	7	75.327621	+
5	1	1	1	5	2	78	243	80	24	89.999222	Itable
4	1	1	1	6	0	29	310	509	24	-1.0	
5	1	1	1	6	1	29	317	17	17	80.152306	1.
5	1	1	1	6	2	77	310	73	24	85.209076	What
5	1	1	1	6	3	157	310	32	24	92.929649	do
5	1	1	1	6	4	197	310	128	24	96.557655	bathroom
5	1	1	1	6	5	333	310	74	24	96.247314	scales
5	1	1	1	6	6	416	311	122	23	96.750008	measure?
4	1	1	1	7	0	25	355	1569	32	-1.0	
5	1	1	1	7	1	25	362	21	17	95.14016	2.
5	1	1	1	7	2	77	355	78	24	95.14016	When
5	1	1	1	7	3	162	364	48	23	95.776863	you
5	1	1	1	7	4	217	355	73	24	95.359848	stand
5	1	1	1	7	5	297	364	32	15	94.364044	on
5	1	1	1	7	6	337	364	14	15	94.067711	a
5	1	1	1	7	7	358	355	128	24	94.067711	bathroom
5	1	1	1	7	8	495	355	68	29	96.546921	scale,
5	1	1	1	7	9	571	355	66	24	96.005104	what
5	1	1	1	7	10	644	355	109	32	96.746643	happens
5	1	1	1	7	11	761	362	26	17	96.92572	to
5	1	1	1	7	12	794	355	41	24	96.92572	the
5	1	1	1	7	13	843	355	73	24	96.802643	scale?
5	1	1	1	7	14	925	358	20	21	96.943794	It
5	1	1	1	7	15	953	355	126	32	96.501251	depresses
5	1	1	1	7	16	1088	355	99	32	95.265358	slightly.
5	1	1	1	7	17	1197	355	44	24	96.959816	The
5	1	1	1	7	18	1250	355	61	24	96.922379	scale
5	1	1	1	7	19	1320	356	110	23	96.894226	contains
5	1	1	1	7	20	1438	356	96	31	96.534958	springs
5	1	1	1	7	21	1542	355	52	24	96.980202	that
4	1	1	1	8	0	78	400	1156	32	-1.0	
5	1	1	1	8	1	78	409	123	23	96.104019	compress
5	1	1	1	8	2	210	401	25	23	96.994537	in
5	1	1	1	8	3	243	401	142	31	96.999092	proportion
5	1	1	1	8	4	392	407	26	17	97.012276	to
5	1	1	1	8	5	425	409	59	23	93.290924	your
5	1	1	1	8	6	490	400	212	32	83.871796	weight—similar
5	1	1	1	8	7	709	407	26	17	96.436295	to
5	1	1	1	8	8	743	400	87	24	96.436295	rubber
5	1	1	1	8	9	838	400	77	24	96.550171	bands
5	1	1	1	8	10	923	400	138	32	96.765976	expanding
5	1	1	1	8	11	1067	400	72	24	96.672325	when
5	1	1	1	8	12	1147	400	87	32	96.742844	pulled.
4	1	1	1	9	0	27	445	1485	32	-1.0	
5	1	1	1	9	1	27	452	19	20	86.778114	3.
5	1	1	1	9	2	78	445	45	24	83.146263	‘The
5	1	1	1	9	3	131	446	96	31	96.770004	springs
5	1	1	1	9	4	236	445	97	32	96.761429	provide
