level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1920	3032	-1.0	
2	1	1	0	0	0	34	722	1659	1879	-1.0	
3	1	1	1	0	0	34	722	1659	1879	-1.0	
4	1	1	1	1	0	1036	722	11	32	-1.0	
5	1	1	1	1	1	1036	722	11	32	62.091183	|
4	1	1	1	2	0	915	1571	468	210	-1.0	
5	1	1	1	2	1	915	1610	270	171	31.510338	Wicted
5	1	1	1	2	2	1218	1571	165	115	84.499489	Are
4	1	1	1	3	0	178	1783	921	199	-1.0	
5	1	1	1	3	1	178	1958	15	24	0.0	,
5	1	1	1	3	2	898	1783	201	121	90.62307	KeeP
4	1	1	1	4	0	613	1974	610	153	-1.0	
5	1	1	1	4	1	613	2082	3	3	90.520195	|
5	1	1	1	4	2	864	1974	359	153	70.754868	authoriz
4	1	1	1	5	0	781	2046	690	225	-1.0	
5	1	1	1	5	1	781	2085	427	186	95.079781	personnel
5	1	1	1	5	2	1245	2046	226	134	96.491486	Only
4	1	1	1	6	0	1686	2202	7	42	-1.0	
5	1	1	1	6	1	1686	2202	7	42	79.381668	|
4	1	1	1	7	0	34	2371	1187	192	-1.0	
5	1	1	1	7	1	34	2498	58	65	65.845757	ji
5	1	1	1	7	2	208	2478	120	34	37.799194	oii
5	1	1	1	7	3	522	2495	14	26	47.419777	!
5	1	1	1	7	4	887	2408	64	43	76.293373	US.
5	1	1	1	7	5	963	2398	169	45	96.051384	Customs
5	1	1	1	7	6	1147	2371	74	53	96.760422	and
4	1	1	1	8	0	72	2439	1172	162	-1.0	
5	1	1	1	8	1	72	2589	1	3	54.185623	!
5	1	1	1	8	2	274	2562	50	39	68.398186	+
5	1	1	1	8	3	396	2523	168	70	34.877361	‘eit
5	1	1	1	8	4	737	2474	117	75	25.128183	AT
5	1	1	1	8	5	886	2459	126	50	94.212608	Border
5	1	1	1	8	6	1029	2439	215	57	91.823029	Protection
